"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2016,"MUNICIPIO","250215",44,0,0,5,39,2,4,14,5,14,22,22,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250220",23,0,0,3,20,1,2,3,8,6,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250230",30,0,0,3,27,1,5,8,4,9,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250240",66,0,0,8,58,3,10,16,11,18,41,25,7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250250",111,0,0,15,96,2,14,41,9,30,64,47,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250260",41,0,0,3,38,2,0,10,5,21,23,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250270",40,0,0,6,34,2,7,5,1,19,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250280",92,0,0,19,73,6,19,15,12,21,49,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250290",38,0,0,10,28,9,5,7,3,4,23,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250300",142,0,0,21,121,6,10,45,12,48,88,54,3,0,6,4,2,2,1,0,0,5,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250310",27,0,0,3,24,0,3,10,3,8,15,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250320",376,0,0,54,322,20,60,108,34,100,205,171,27,0,4,3,1,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250330",63,0,0,7,56,5,15,14,8,14,42,21,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250340",18,0,0,5,13,1,0,1,4,7,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250350",118,0,0,12,106,9,16,33,12,36,78,40,1,0,2,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250355",54,0,0,4,50,3,8,14,2,23,26,28,4,0,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250360",64,0,0,2,62,2,8,15,13,24,30,34,5,0,2,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250370",530,0,0,40,490,33,84,111,71,191,292,238,19,0,2,1,1,4,0,0,0,2,0,3,1,1,0,1,0,3,2,0,0,0,0,0,0
2016,"MUNICIPIO","250375",14,0,0,1,13,1,0,4,3,5,9,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250380",53,0,0,11,42,0,8,14,8,12,34,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250390",51,0,0,6,45,1,6,16,3,19,30,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250400",2861,0,0,286,2575,76,473,758,247,1021,1494,1367,136,0,51,36,15,16,8,0,0,41,0,6,0,3,0,1,2,4,4,0,0,0,0,0,0
2016,"MUNICIPIO","250403",26,0,0,3,23,2,4,5,4,8,14,12,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250407",33,0,0,5,28,1,4,8,4,11,16,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250410",14,0,0,2,12,1,4,1,3,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250415",48,0,0,9,39,2,7,15,3,12,27,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250420",29,0,0,1,28,2,4,10,9,3,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250430",225,0,0,31,194,9,41,52,27,65,121,104,10,0,2,2,0,1,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250435",43,0,0,2,41,2,14,10,2,13,21,22,5,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250440",153,0,0,23,130,9,10,29,11,71,90,63,5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250450",43,0,0,3,40,3,6,19,5,7,25,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250460",146,0,0,24,122,7,21,37,17,40,92,54,9,0,1,0,1,3,1,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0
2016,"MUNICIPIO","250470",42,0,0,4,38,2,3,13,4,16,27,15,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250480",121,0,0,17,104,3,10,45,18,28,69,52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250485",12,0,0,1,11,0,1,4,3,3,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250490",108,0,0,14,94,6,10,33,16,29,61,47,10,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250500",44,0,0,8,36,2,1,14,4,15,31,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250510",140,0,0,12,128,5,22,40,13,48,90,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250520",52,0,0,5,47,3,3,25,2,14,22,30,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250523",54,0,0,5,49,2,4,22,5,16,27,27,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250527",29,0,0,1,28,3,4,7,3,11,14,15,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250530",10,0,0,0,10,1,0,6,2,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250535",26,0,0,6,20,0,2,5,2,11,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250540",58,0,0,5,53,1,2,29,5,16,33,25,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250550",22,0,0,3,19,1,1,7,3,7,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250560",37,0,0,2,35,0,3,5,5,22,22,15,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250570",66,0,0,4,62,5,7,24,9,17,30,36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250580",27,0,0,5,22,1,3,8,3,7,17,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250590",21,0,0,3,18,1,1,9,2,5,11,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250600",299,0,0,26,273,6,44,113,26,84,170,129,11,0,2,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250610",96,0,0,4,92,1,10,20,8,53,45,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
